iter	Passed	Remaining
0	0	96
1	1	88
2	2	84
3	3	83
4	4	92
5	6	100
6	7	106
7	9	108
8	10	108
9	11	107
10	13	105
11	14	107
12	15	106
13	17	104
14	18	104
15	19	103
16	20	102
17	22	103
18	24	102
19	25	101
20	26	100
21	27	97
22	28	96
23	30	96
24	32	96
25	33	94
26	34	93
27	36	92
28	37	92
29	39	91
30	40	90
31	41	89
32	43	87
33	44	87
34	46	86
35	47	84
36	48	83
37	50	82
38	52	81
39	53	80
40	55	79
41	55	76
42	56	75
43	57	73
44	59	72
45	60	71
46	62	70
47	63	68
48	64	67
49	66	66
50	67	64
51	68	63
52	70	62
53	71	60
54	72	59
55	73	57
56	75	56
57	76	55
58	78	54
59	79	52
60	81	51
61	82	50
62	83	48
63	84	47
64	86	46
65	87	45
66	88	43
67	89	42
68	90	40
69	92	39
70	93	38
71	94	36
72	96	35
73	96	34
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	104	26
80	105	24
81	107	23
82	108	22
83	109	20
84	110	19
85	112	18
86	113	16
87	115	15
88	116	14
89	117	13
90	118	11
91	119	10
92	120	9
93	121	7
94	122	6
95	123	5
96	125	3
97	126	2
98	127	1
99	128	0
