iter	Passed	Remaining
0	0	618
1	1	582
2	1	587
3	2	579
4	2	558
5	3	555
6	3	557
7	4	551
8	4	550
9	5	543
10	6	548
11	6	539
12	7	532
13	7	528
14	8	527
15	8	523
16	9	524
17	9	522
18	10	520
19	10	519
20	11	519
21	11	515
22	12	515
23	12	514
24	13	512
25	13	509
26	14	507
27	14	507
28	15	505
29	15	505
30	16	503
31	16	505
32	17	506
33	17	505
34	18	504
35	18	504
36	19	501
37	19	500
38	20	499
39	20	497
40	21	495
41	21	493
42	22	493
43	22	493
44	23	492
45	23	492
46	24	492
47	25	497
48	25	495
49	26	494
50	26	494
51	27	493
52	27	493
53	28	492
54	28	490
55	28	488
56	29	486
57	29	485
58	30	483
59	30	481
60	31	482
61	31	482
62	32	483
63	32	482
64	33	481
65	34	481
66	34	480
67	35	480
68	35	479
69	36	479
70	36	477
71	36	476
72	37	475
73	37	474
74	38	474
75	38	473
76	39	473
77	40	472
78	40	472
79	41	472
80	41	472
81	42	470
82	42	467
83	42	466
84	43	466
85	43	465
86	44	465
87	44	464
88	45	463
89	45	462
90	46	461
91	46	461
92	47	461
93	47	460
94	48	460
95	48	459
96	49	459
97	49	457
98	50	457
99	50	457
100	51	456
101	51	456
102	52	456
103	52	456
104	53	455
105	53	455
106	54	454
107	55	454
108	55	454
109	56	453
110	56	453
111	57	452
112	57	452
113	58	451
114	58	451
115	59	451
116	59	449
117	60	448
118	60	448
119	61	447
120	61	447
121	61	446
122	62	445
123	63	445
124	63	444
125	63	443
126	64	442
127	64	441
128	65	441
129	65	440
130	66	440
131	66	439
132	67	439
133	67	439
134	68	438
135	69	439
136	69	439
137	70	439
138	70	438
139	71	438
140	71	438
141	72	436
142	72	436
143	73	436
144	73	435
145	74	434
146	74	434
147	75	434
148	75	433
149	76	433
150	76	432
151	77	432
152	78	433
153	78	432
154	79	431
155	79	430
156	80	429
157	80	428
158	80	428
159	81	427
160	81	425
161	82	424
162	82	423
163	83	423
164	83	422
165	84	422
166	84	422
167	85	421
168	85	421
169	86	421
170	86	420
171	87	420
172	87	419
173	88	418
174	88	418
175	89	417
176	89	416
177	90	416
178	90	415
179	91	415
180	91	414
181	92	414
182	92	413
183	93	413
184	93	412
185	94	412
186	94	411
187	95	411
188	95	410
189	96	409
190	96	409
191	97	408
192	97	408
193	98	407
194	98	407
195	99	406
196	99	406
197	100	405
198	100	405
199	101	405
200	101	404
201	102	404
202	102	403
203	103	403
204	103	402
205	104	402
206	104	401
207	105	401
208	105	400
209	106	399
210	106	399
211	107	398
212	107	398
213	108	397
214	108	396
215	109	396
216	109	395
217	110	395
218	110	394
219	111	394
220	111	393
221	112	392
222	112	392
223	113	391
224	113	390
225	113	389
226	114	389
227	115	389
228	115	389
229	116	388
230	116	388
231	117	387
232	117	387
233	118	386
234	118	385
235	118	385
236	119	384
237	119	383
238	120	382
239	120	382
240	121	381
241	121	380
242	122	380
243	122	380
244	123	380
245	123	379
246	124	378
247	124	378
248	125	377
249	125	376
250	126	378
251	127	377
252	127	376
253	128	375
254	128	375
255	128	374
256	129	374
257	130	373
258	130	373
259	131	372
260	131	372
261	131	371
262	132	371
263	132	370
264	133	369
265	133	369
266	134	368
267	134	367
268	135	367
269	135	366
270	136	366
271	136	365
272	137	364
273	137	364
274	138	363
275	138	363
276	138	362
277	139	361
278	139	361
279	140	361
280	140	360
281	141	360
282	141	359
283	142	359
284	142	358
285	143	357
286	143	357
287	144	356
288	144	356
289	145	355
290	145	355
291	146	355
292	146	354
293	147	353
294	147	353
295	148	352
296	148	352
297	149	351
298	149	351
299	150	350
300	150	349
301	151	349
302	151	348
303	152	348
304	152	347
305	153	347
306	153	346
307	154	346
308	154	345
309	155	345
310	155	344
311	156	344
312	156	343
313	157	343
314	157	342
315	158	342
316	158	341
317	159	341
318	159	340
319	159	339
320	160	339
321	161	339
322	161	338
323	162	338
324	162	337
325	162	336
326	163	336
327	163	335
328	164	335
329	164	334
330	165	334
331	165	333
332	166	332
333	166	332
334	167	331
335	167	331
336	168	331
337	169	331
338	169	330
339	170	330
340	170	329
341	171	329
342	171	328
343	172	328
344	172	327
345	172	326
346	173	326
347	173	325
348	174	325
349	174	324
350	175	323
351	175	323
352	176	322
353	176	322
354	176	321
355	177	320
356	177	320
357	178	319
358	178	319
359	179	318
360	179	317
361	180	317
362	180	317
363	181	316
364	181	316
365	182	315
366	182	315
367	183	314
368	183	314
369	184	314
370	184	313
371	185	313
372	185	312
373	186	312
374	187	311
